Experiment,Species,Resonance,Peak,Position,Width,Height,Fraction
1::20,TMU,2.82 s,1,2.8200758578894134,0.48056695417018325,0.35304268402723865,1.0718268718826635e-12
1::20,solvent,2.00 s,1,1.9999894702406513,0.34676427457679426,1.0006237267976388,1.1904431196011922e-12
1::20,vanillin,H1,1,9.817909719098376,1.4217431976154409,0.0787681357761998,4.458142148787645e-12
1::20,vanillin,H2,1,8.272114235515147,2.6649143659109873,0.028974074059469185,9.404206457618241e-13
1::20,vanillin,H3,1,7.453130270620257,1.9397383466224032,0.0565732697664167,1.549863636772652e-12
1::20,vanillin,H4,1,7.046465831361535,1.7458921666486849,0.03197425181690716,3.448234258053287e-12
1::20,vanillin,H5,1,3.8959782277220665,0.6776321748049212,0.2693480076070767,4.270587800777406e-12
1::21,TMU,2.82 s,1,2.820718513859875,0.49203879800951905,0.3645441358755038,7.799535981343898e-12
1::21,solvent,2.00 s,1,2.0006799714482417,0.35560531181707056,1.0257368299531147,5.705784504183538e-12
1::21,vanillin,H1,1,9.818685593213248,1.4228805203624595,0.08284764188527254,2.1028959123841223e-12
1::21,vanillin,H2,1,8.276742539527415,2.7241283159539926,0.03035049899031423,1.9072928507574576e-12
1::21,vanillin,H3,1,7.453415864289436,1.9334123485461818,0.05931715382997487,6.3947439674360724e-12
1::21,vanillin,H4,1,7.047340992787785,1.8175941515553582,0.032845803577205124,1.4808073047710119e-12
1::21,vanillin,H5,1,3.8965643695054974,0.6851351695079418,0.2788016185823472,7.99024714101452e-12
1::22,TMU,2.82 s,1,2.8201822908348233,0.5068413432965998,0.3679772320569479,1.0606466249028798e-12
1::22,solvent,2.00 s,1,2.0001797595557553,0.37167378698238507,1.0214188531488637,3.1937897919628984e-12
1::22,vanillin,H1,1,9.818188078184981,1.4721832544401627,0.08401789412851601,1.0557612683349915e-12
1::22,vanillin,H2,1,8.275669917283697,2.709785586566129,0.03181249237948917,8.5921207568674e-12
1::22,vanillin,H3,1,7.4531988716552515,1.922627104724885,0.06194585043723145,2.7886090065811317e-12
1::22,vanillin,H4,1,7.047388037124328,1.7871249687073016,0.03457363266991261,7.570509482116117e-13
1::22,vanillin,H5,1,3.8960756661924276,0.7000652402628958,0.28414037001321774,4.927560275461209e-13
1::23,TMU,2.82 s,1,2.821316044748435,0.5175321715510022,0.36909079554504953,2.6415698627801117e-12
1::23,solvent,2.00 s,1,2.0013071907592215,0.3800106021153285,1.0189377856400248,3.930517835201709e-13
1::23,vanillin,H1,1,9.819306909233783,1.431266927365574,0.08651209409424485,4.214077838431046e-13
1::23,vanillin,H2,1,8.276501631597561,2.664251248697635,0.032865231890830904,1.385510709153505e-12
1::23,vanillin,H3,1,7.454148503032821,1.8785726117692698,0.06265640404748771,2.1080898819341776e-12
1::23,vanillin,H4,1,7.049200027077944,1.819684851436043,0.034599652983059906,1.6993975777510767e-12
1::23,vanillin,H5,1,3.897106902414887,0.7049962485156372,0.2871697529347219,2.1573536851588103e-12
4::27,TMU,2.82 s,1,2.819932986328511,0.4675023919069241,0.3823638121844388,3.6691851029434805e-13
4::27,solvent,2.00 s,1,2.0007193112799007,0.34617776440843284,1.022044935009032,1.43308632104156e-12
4::27,vanillin,H1,1,9.818992536232805,1.3655863423142398,0.09185382906081864,1.7386669603372694e-12
4::27,vanillin,H2,1,8.302466354266784,2.6000341990562026,0.02899395843898527,5.932007354406635e-13
