Experiment,Species,Resonance,Area
1::20,TMU,2.82 s,0.006940473791287974
1::20,solvent,2.00 s,0.014194272658371015
1::20,vanillin,H1,0.004581204987790619
1::20,vanillin,H2,0.003158645031900352
1::20,vanillin,H3,0.00448913256752318
1::20,vanillin,H4,0.0022836303497464094
1::20,vanillin,H5,0.007466477914888489
1::21,TMU,2.82 s,0.007337657971020661
1::21,solvent,2.00 s,0.01492148985203529
1::21,vanillin,H1,0.004822326197544778
1::21,vanillin,H2,0.0033822164306775353
1::21,vanillin,H3,0.004691511565828054
1::21,vanillin,H4,0.0024422201313453592
1::21,vanillin,H5,0.007814110546871852
1::22,TMU,2.82 s,0.007629586134707925
1::22,solvent,2.00 s,0.015530083873717753
1::22,vanillin,H1,0.005059896858580286
1::22,vanillin,H2,0.003526473485634957
1::22,vanillin,H3,0.004872089739801645
1::22,vanillin,H4,0.002527597603270306
1::22,vanillin,H5,0.008137283651782094
1::23,TMU,2.82 s,0.007814092821912413
1::23,solvent,2.00 s,0.015839861498014522
1::23,vanillin,H1,0.005065303350238012
1::23,vanillin,H2,0.0035819529563599073
1::23,vanillin,H3,0.004815057210054579
1::23,vanillin,H4,0.002575585204085217
1::23,vanillin,H5,0.008281967069496157
4::27,TMU,2.82 s,0.007312546132488563
4::27,solvent,2.00 s,0.014473619730057957
4::27,vanillin,H1,0.005131264818227726
4::27,vanillin,H2,0.0030838594134140807
4::27,vanillin,H3,0.00465053841791998
4::27,vanillin,H4,0.002312999011712912
4::27,vanillin,H5,0.007248444223582842
4::28,TMU,2.82 s,0.0074004452324697755
4::28,solvent,2.00 s,0.014527904898824547
4::28,vanillin,H1,0.005240311761300909
4::28,vanillin,H2,0.0031006327669503126
4::28,vanillin,H3,0.004809677502092222
4::28,vanillin,H4,0.0023790850209493286
4::28,vanillin,H5,0.007350860809262978
4::29,TMU,2.82 s,0.00722882447929434
4::29,solvent,2.00 s,0.014153945818070857
4::29,vanillin,H1,0.0051700493657052355
4::29,vanillin,H2,0.0031328842072720184
4::29,vanillin,H3,0.004603302326693413
4::29,vanillin,H4,0.002282604172597223
4::29,vanillin,H5,0.00713956729427216
4::30,TMU,2.82 s,0.007180213564409091
4::30,solvent,2.00 s,0.014104744367461284
4::30,vanillin,H1,0.005088748543405906
4::30,vanillin,H2,0.0030507822537410674
4::30,vanillin,H3,0.004546868046561703
4::30,vanillin,H4,0.0023348838578000374
4::30,vanillin,H5,0.007174512218464447
4::31,TMU,2.82 s,0.007231011760340929
4::31,solvent,2.00 s,0.01418897295927588
4::31,vanillin,H1,0.005150782477438133
4::31,vanillin,H2,0.003103440921625903
4::31,vanillin,H3,0.004645741459173473
4::31,vanillin,H4,0.0022507984532049467
4::31,vanillin,H5,0.007210133888298924
8::35,TMU,2.82 s,0.007266818218723268
8::35,solvent,2.00 s,0.014478859662601661
8::35,vanillin,H1,0.004476311753190289
8::35,vanillin,H2,0.003279329822824282
8::35,vanillin,H3,0.004775351204117665
8::35,vanillin,H4,0.002507400205795721
8::35,vanillin,H5,0.007798736354988296
8::36,TMU,2.82 s,0.007151570028135347
8::36,solvent,2.00 s,0.01420422045020172
8::36,vanillin,H1,0.004349931448869525
8::36,vanillin,H2,0.0031139977648982956
8::36,vanillin,H3,0.004663324395328907
8::36,vanillin,H4,0.002410794649330979
8::36,vanillin,H5,0.007621019886147318
8::37,TMU,2.82 s,0.007131731854064789
8::37,solvent,2.00 s,0.014097498394560771
8::37,vanillin,H1,0.004370456216284263
8::37,vanillin,H2,0.0031229188365804283
8::37,vanillin,H3,0.004687372240707824
8::37,vanillin,H4,0.0023855850821804243
8::37,vanillin,H5,0.007631424462982456
